, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, loan_status, movable_assets, immovable_assets, cibil_category
335,4, Not Graduate, Yes,5500000,20000000,14,593, Approved,24800000,17800000,Fair
336,3, Graduate, No,7900000,18300000,10,731, Approved,30600000,7600000,Good
337,1, Graduate, Yes,4000000,10100000,16,451, Rejected,18200000,10900000,Poor
338,3, Not Graduate, Yes,6800000,16900000,18,628, Approved,20500000,4500000,Fair
339,1, Not Graduate, No,2700000,9400000,18,704, Approved,8800000,7600000,Good
340,2, Not Graduate, No,6800000,23500000,12,341, Rejected,22800000,31100000,Poor
341,5, Graduate, No,8600000,21000000,8,465, Rejected,29400000,26600000,Poor
342,4, Graduate, No,8000000,30100000,4,431, Approved,30300000,25700000,Poor
343,1, Graduate, Yes,3700000,12600000,10,424, Rejected,18600000,6500000,Poor
344,0, Graduate, No,2600000,5100000,14,678, Approved,9100000,1700000,Good
345,4, Graduate, No,4200000,16800000,6,381, Rejected,20700000,13400000,Poor
346,5, Graduate, Yes,8000000,28000000,10,449, Rejected,21300000,20000000,Poor
347,1, Not Graduate, No,7100000,23500000,12,768, Approved,29700000,18500000,Excellent
348,0, Not Graduate, No,2000000,7000000,6,666, Rejected,5700000,1200000,Good
349,4, Not Graduate, Yes,5800000,13300000,14,742, Approved,23300000,25400000,Good
350,3, Not Graduate, Yes,6700000,15800000,4,445, Rejected,23200000,18100000,Poor
351,2, Graduate, No,7300000,28700000,14,634, Approved,32000000,9700000,Fair
352,4, Not Graduate, No,3300000,9700000,14,782, Approved,12600000,2500000,Excellent
353,0, Graduate, No,3000000,7000000,10,781, Approved,14400000,7800000,Excellent
354,4, Not Graduate, No,7900000,17200000,14,318, Rejected,32200000,23700000,Poor
355,5, Not Graduate, No,7600000,24100000,18,721, Approved,30100000,33400000,Good
356,5, Not Graduate, No,3700000,9800000,4,563, Approved,14200000,14600000,Fair
357,2, Not Graduate, No,8400000,26300000,4,419, Approved,35400000,30800000,Poor
358,0, Graduate, Yes,8200000,20800000,14,372, Rejected,31300000,3900000,Poor
359,0, Not Graduate, No,2900000,9500000,18,885, Approved,10000000,6600000,Excellent
360,1, Not Graduate, Yes,9900000,38400000,12,596, Approved,43300000,19300000,Fair
361,0, Graduate, No,4400000,14100000,2,349, Approved,15000000,4600000,Poor
362,1, Not Graduate, Yes,9000000,32200000,16,468, Rejected,39500000,20900000,Poor
363,3, Not Graduate, Yes,6800000,26900000,16,818, Approved,33600000,25100000,Excellent
364,2, Not Graduate, No,8700000,28000000,12,543, Rejected,29600000,22900000,Poor
365,3, Graduate, No,9400000,21900000,16,685, Approved,39500000,13700000,Good
366,3, Not Graduate, Yes,6000000,12500000,18,851, Approved,21800000,19600000,Excellent
367,1, Not Graduate, Yes,9400000,29800000,10,377, Rejected,42600000,42600000,Poor
368,0, Not Graduate, Yes,1000000,4000000,10,620, Approved,4800000,3700000,Fair
369,3, Graduate, Yes,900000,2300000,20,611, Approved,2400000,2100000,Fair
370,4, Not Graduate, No,2100000,7700000,4,767, Approved,8200000,2900000,Excellent
371,5, Graduate, Yes,1100000,3200000,20,592, Approved,4000000,3900000,Fair
372,0, Graduate, Yes,600000,2300000,4,319, Approved,3000000,2400000,Poor
373,4, Not Graduate, Yes,9200000,25500000,10,900, Approved,40200000,19900000,Excellent
374,2, Not Graduate, Yes,3600000,12800000,18,814, Approved,14400000,12700000,Excellent
375,5, Not Graduate, Yes,1300000,5000000,10,755, Approved,6700000,4300000,Excellent
376,5, Graduate, Yes,7700000,16800000,20,584, Approved,31400000,13400000,Fair
377,4, Graduate, Yes,9500000,23500000,14,380, Rejected,32400000,29600000,Poor
378,2, Not Graduate, Yes,5000000,17600000,20,465, Rejected,21700000,11400000,Poor
379,0, Not Graduate, No,500000,1800000,2,531, Approved,2600000,1800000,Poor
380,1, Graduate, Yes,8300000,32100000,16,814, Approved,36400000,21200000,Excellent
381,0, Graduate, No,5300000,17900000,6,678, Approved,18000000,8600000,Good
382,2, Not Graduate, Yes,9300000,29000000,12,655, Approved,34800000,14700000,Good
383,3, Not Graduate, No,2300000,7400000,2,682, Approved,9700000,8900000,Good
384,1, Not Graduate, No,400000,1300000,6,695, Approved,900000,700000,Good
385,3, Not Graduate, No,3200000,10800000,4,833, Approved,11300000,3600000,Excellent
386,5, Not Graduate, Yes,9400000,35300000,16,302, Rejected,49900000,16600000,Poor
387,1, Graduate, No,2300000,6600000,2,357, Rejected,8200000,6100000,Poor
388,5, Not Graduate, No,4300000,14500000,12,302, Rejected,17600000,16800000,Poor
389,0, Graduate, Yes,6200000,22400000,18,873, Approved,24000000,22300000,Excellent
390,0, Not Graduate, Yes,7200000,19800000,12,658, Approved,32300000,20800000,Good
391,5, Graduate, Yes,2400000,8700000,18,877, Approved,8200000,5700000,Excellent
392,3, Not Graduate, No,2900000,6300000,8,648, Approved,9000000,6800000,Fair
393,1, Graduate, No,1400000,5200000,12,730, Approved,4400000,2900000,Good
394,4, Not Graduate, Yes,2200000,8200000,14,737, Approved,9600000,8600000,Good
395,2, Graduate, Yes,800000,3200000,10,584, Rejected,2800000,200000,Fair
396,0, Graduate, No,600000,1700000,2,621, Approved,2200000,800000,Fair
397,4, Graduate, Yes,700000,2700000,16,583, Approved,1700000,2300000,Fair
398,2, Not Graduate, No,8400000,25900000,16,621, Approved,37700000,22000000,Fair
399,2, Not Graduate, No,7100000,21500000,16,610, Approved,23500000,17900000,Fair
400,4, Graduate, No,5400000,15700000,18,452, Rejected,23100000,16300000,Poor
401,5, Graduate, No,3700000,7300000,18,339, Rejected,19200000,9400000,Poor
402,3, Graduate, Yes,5200000,15200000,16,650, Approved,17600000,7000000,Fair
403,4, Not Graduate, Yes,200000,700000,10,672, Approved,600000,400000,Good
404,3, Graduate, No,500000,1000000,20,501, Rejected,1100000,1600000,Poor
405,2, Not Graduate, Yes,1800000,5700000,4,809, Approved,8700000,3100000,Excellent
406,5, Graduate, Yes,9200000,29400000,8,318, Rejected,39200000,23900000,Poor
407,4, Not Graduate, No,900000,3300000,10,649, Approved,3000000,400000,Fair
408,3, Not Graduate, No,7500000,28300000,12,367, Rejected,29700000,20500000,Poor
409,5, Not Graduate, No,3000000,11800000,6,847, Approved,9400000,10400000,Excellent
410,5, Graduate, No,7100000,18900000,12,360, Rejected,28300000,11800000,Poor
411,1, Graduate, Yes,3500000,7200000,2,865, Approved,16100000,7300000,Excellent
412,4, Not Graduate, No,4900000,18800000,16,880, Approved,15800000,8900000,Excellent
413,1, Graduate, No,4100000,8400000,20,608, Approved,14400000,9400000,Fair
414,0, Graduate, Yes,800000,2100000,6,760, Approved,2200000,400000,Excellent
415,3, Graduate, Yes,1700000,4600000,12,385, Rejected,6900000,2800000,Poor
416,0, Graduate, Yes,6100000,23300000,12,478, Rejected,22600000,6100000,Poor
417,1, Graduate, Yes,2100000,7700000,16,327, Rejected,7000000,5500000,Poor
418,0, Graduate, No,3100000,9300000,6,663, Approved,11900000,2700000,Good
419,2, Not Graduate, Yes,1700000,3500000,20,693, Approved,6500000,3600000,Good
420,3, Graduate, No,1700000,5400000,6,710, Approved,7500000,5500000,Good
421,4, Not Graduate, Yes,4000000,14500000,6,711, Approved,15000000,8100000,Good
422,5, Graduate, No,5600000,18400000,8,386, Rejected,16900000,18000000,Poor
423,4, Graduate, Yes,3900000,11900000,10,855, Approved,13000000,14200000,Excellent
424,4, Graduate, Yes,6100000,15300000,14,573, Approved,21700000,11000000,Fair
425,0, Graduate, Yes,1100000,2800000,18,431, Rejected,5700000,800000,Poor
426,2, Graduate, No,5500000,14800000,8,364, Rejected,17100000,17500000,Poor
427,4, Graduate, Yes,1100000,3600000,14,711, Approved,4200000,3000000,Good
428,4, Not Graduate, Yes,400000,900000,20,771, Approved,2100000,1500000,Excellent
429,3, Graduate, No,9200000,36400000,18,669, Approved,43200000,15800000,Good
430,4, Not Graduate, Yes,9300000,27500000,18,338, Rejected,41500000,22000000,Poor
431,1, Graduate, No,1100000,3500000,8,562, Approved,3700000,3500000,Fair
432,3, Not Graduate, No,5600000,18700000,2,769, Approved,22100000,16200000,Excellent
433,0, Graduate, Yes,6300000,21500000,8,629, Approved,27200000,4000000,Fair
434,3, Graduate, No,8800000,18100000,6,699, Approved,27900000,8500000,Good
435,0, Not Graduate, No,8400000,20800000,20,590, Approved,42900000,14000000,Fair
436,3, Graduate, Yes,1600000,5700000,4,707, Approved,8500000,6000000,Good
437,3, Not Graduate, Yes,4500000,11400000,8,391, Rejected,14400000,15300000,Poor
438,5, Not Graduate, No,6500000,18500000,4,891, Approved,30700000,16900000,Excellent
439,3, Graduate, Yes,9500000,20600000,2,731, Approved,29900000,17200000,Good
440,3, Not Graduate, No,4700000,16700000,12,775, Approved,20800000,5700000,Excellent
441,5, Graduate, Yes,9600000,32400000,2,897, Approved,33000000,18900000,Excellent
442,5, Graduate, No,8000000,26700000,20,794, Approved,37700000,22700000,Excellent
443,2, Graduate, No,7700000,16700000,6,555, Approved,26600000,15800000,Fair
444,1, Not Graduate, Yes,3600000,10300000,12,536, Rejected,14900000,7300000,Poor
445,2, Not Graduate, No,700000,1700000,10,839, Approved,2900000,800000,Excellent
446,0, Graduate, Yes,1400000,5100000,6,890, Approved,7100000,6000000,Excellent
447,1, Graduate, Yes,8600000,27900000,20,415, Rejected,35000000,27000000,Poor
448,4, Graduate, No,4700000,15700000,4,868, Approved,18600000,5800000,Excellent
449,3, Graduate, Yes,2900000,5800000,12,353, Rejected,13200000,11000000,Poor
450,4, Not Graduate, No,9000000,29000000,16,590, Approved,41500000,20200000,Fair
451,5, Graduate, Yes,500000,900000,18,618, Approved,1600000,2000000,Fair
452,2, Not Graduate, Yes,700000,1700000,10,539, Rejected,2800000,2400000,Poor
453,0, Graduate, No,6800000,27000000,4,429, Approved,30800000,24700000,Poor
454,2, Graduate, No,1800000,4700000,8,792, Approved,6300000,5700000,Excellent
455,0, Not Graduate, No,6000000,12400000,2,608, Approved,24700000,5100000,Fair
456,4, Graduate, Yes,5400000,21500000,14,555, Approved,21800000,5800000,Fair
457,5, Graduate, Yes,8400000,17500000,12,620, Approved,31800000,28900000,Fair
458,0, Graduate, No,7400000,20900000,6,635, Approved,28200000,29600000,Fair
459,2, Graduate, No,3200000,12500000,10,457, Rejected,12500000,8100000,Poor
460,1, Graduate, Yes,5400000,21400000,8,350, Rejected,26500000,3600000,Poor
461,5, Graduate, Yes,1000000,2500000,14,885, Approved,3400000,2300000,Excellent
462,0, Graduate, No,4400000,14700000,16,638, Approved,17100000,6700000,Fair
463,1, Graduate, Yes,3800000,10500000,12,710, Approved,15000000,8000000,Good
464,3, Not Graduate, Yes,6100000,20900000,18,470, Rejected,25500000,9000000,Poor
465,5, Not Graduate, Yes,5500000,17300000,16,874, Approved,21600000,3900000,Excellent
466,5, Not Graduate, Yes,500000,1800000,18,411, Rejected,1500000,1500000,Poor
467,0, Not Graduate, Yes,300000,1100000,2,482, Approved,1500000,300000,Poor
468,1, Graduate, Yes,6200000,16900000,2,396, Rejected,31300000,18100000,Poor
469,0, Not Graduate, No,300000,900000,20,436, Rejected,800000,400000,Poor
470,0, Not Graduate, Yes,6900000,22100000,20,303, Rejected,28900000,18200000,Poor
471,4, Graduate, No,3700000,11400000,12,728, Approved,9600000,10000000,Good
472,3, Not Graduate, Yes,8800000,28600000,10,775, Approved,41600000,10200000,Excellent
473,5, Graduate, Yes,8200000,23500000,12,402, Rejected,30100000,16600000,Poor
474,1, Not Graduate, Yes,9200000,31500000,18,698, Approved,28700000,11400000,Good
475,0, Not Graduate, No,2400000,7800000,14,665, Approved,9100000,8100000,Good
476,4, Not Graduate, No,4100000,13500000,18,490, Rejected,15900000,10900000,Poor
477,1, Graduate, No,8000000,31900000,12,504, Rejected,28100000,25300000,Poor
478,3, Not Graduate, Yes,3600000,8600000,8,790, Approved,15000000,11300000,Excellent
479,1, Not Graduate, Yes,700000,2700000,20,669, Approved,3100000,1100000,Good
480,4, Not Graduate, No,8300000,30700000,6,381, Rejected,31300000,24000000,Poor
481,0, Graduate, Yes,5300000,15000000,2,900, Approved,26800000,3800000,Excellent
482,4, Graduate, No,8300000,24900000,16,506, Rejected,33700000,21000000,Poor
483,3, Not Graduate, Yes,2500000,8800000,12,538, Rejected,12400000,6700000,Poor
484,3, Graduate, Yes,5400000,14400000,8,677, Approved,23900000,18900000,Good
485,4, Graduate, No,1600000,4900000,8,685, Approved,5300000,5200000,Good
486,2, Not Graduate, No,2400000,6200000,12,860, Approved,10600000,8600000,Excellent
487,5, Not Graduate, No,6300000,14800000,6,608, Approved,27200000,26600000,Fair
488,4, Graduate, Yes,2500000,5300000,10,540, Rejected,8800000,5100000,Poor
489,0, Graduate, Yes,7500000,16800000,16,492, Rejected,36500000,26300000,Poor
490,3, Not Graduate, No,2900000,8500000,14,834, Approved,10600000,5700000,Excellent
491,3, Graduate, Yes,1000000,3500000,16,834, Approved,3700000,2500000,Excellent
492,2, Graduate, Yes,8600000,28800000,8,890, Approved,28400000,29200000,Excellent
493,1, Not Graduate, No,300000,1100000,12,443, Rejected,1400000,1000000,Poor
494,5, Not Graduate, No,2300000,5700000,18,329, Rejected,7600000,8900000,Poor
495,2, Not Graduate, Yes,2400000,5400000,12,739, Approved,8000000,2800000,Good
496,5, Graduate, Yes,9800000,30300000,6,867, Approved,37800000,36800000,Excellent
497,2, Not Graduate, No,8100000,24800000,6,307, Rejected,41600000,4200000,Poor
498,3, Graduate, No,6700000,15500000,18,492, Rejected,35700000,4100000,Poor
499,1, Not Graduate, Yes,8400000,24700000,18,698, Approved,44900000,36200000,Good
500,2, Graduate, No,200000,700000,8,851, Approved,1000000,600000,Excellent
501,2, Graduate, No,4700000,12500000,14,375, Rejected,15500000,7600000,Poor
502,0, Graduate, Yes,4300000,14300000,14,601, Approved,22400000,4700000,Fair
503,4, Not Graduate, No,2200000,7000000,20,756, Approved,6900000,7500000,Excellent
504,4, Graduate, Yes,8600000,19200000,4,868, Approved,42100000,21900000,Excellent
505,4, Graduate, Yes,2000000,7200000,10,838, Approved,8600000,2800000,Excellent
506,4, Not Graduate, Yes,4200000,15900000,14,375, Rejected,19200000,15100000,Poor
507,0, Not Graduate, Yes,5100000,12500000,18,778, Approved,18000000,4300000,Excellent
508,2, Graduate, Yes,4100000,11200000,6,442, Rejected,14500000,16300000,Poor
509,1, Graduate, Yes,9900000,39500000,12,808, Approved,43700000,15500000,Excellent
510,1, Not Graduate, Yes,3200000,9000000,20,372, Rejected,11000000,5500000,Poor
511,2, Graduate, No,5500000,19000000,4,597, Approved,24000000,5100000,Fair
512,0, Graduate, Yes,7800000,29100000,20,435, Rejected,27000000,34100000,Poor
513,3, Graduate, Yes,3400000,9700000,20,728, Approved,9700000,3000000,Good
514,4, Graduate, Yes,7900000,25900000,14,373, Rejected,35300000,25200000,Poor
515,3, Graduate, Yes,8900000,18500000,10,367, Rejected,42300000,6100000,Poor
516,2, Graduate, No,7300000,19100000,14,552, Approved,20800000,15400000,Fair
517,4, Not Graduate, Yes,3300000,10600000,8,465, Rejected,10100000,4900000,Poor
518,4, Graduate, Yes,2900000,10500000,8,607, Approved,11400000,9900000,Fair
519,2, Graduate, Yes,500000,1300000,4,427, Rejected,2400000,1900000,Poor
520,3, Not Graduate, No,7200000,21200000,4,711, Approved,30600000,15000000,Good
521,3, Not Graduate, No,8300000,24100000,14,823, Approved,31700000,6600000,Excellent
522,1, Not Graduate, Yes,8700000,20500000,6,523, Rejected,28500000,25800000,Poor
523,4, Not Graduate, Yes,7100000,27900000,10,328, Rejected,34200000,22400000,Poor
524,3, Graduate, Yes,9800000,28200000,12,721, Approved,31500000,22300000,Good
525,0, Graduate, Yes,6900000,17000000,20,599, Approved,30900000,27500000,Fair
526,0, Not Graduate, No,2400000,5000000,14,580, Approved,8700000,10300000,Fair
527,1, Not Graduate, Yes,2100000,4900000,10,744, Approved,6400000,2200000,Good
528,2, Graduate, Yes,7200000,23900000,4,559, Approved,28600000,16400000,Fair
529,2, Graduate, No,4600000,13500000,16,587, Approved,15600000,13600000,Fair
530,5, Graduate, Yes,9900000,31800000,18,817, Approved,44100000,24100000,Excellent
531,4, Not Graduate, Yes,300000,1000000,20,655, Approved,1500000,100000,Good
532,5, Graduate, Yes,6900000,23900000,6,382, Rejected,30400000,24000000,Poor
533,2, Graduate, Yes,1700000,4300000,6,765, Approved,4300000,6500000,Excellent
534,2, Graduate, Yes,4400000,10000000,20,516, Rejected,17300000,15000000,Poor
535,4, Not Graduate, Yes,4300000,15000000,8,383, Rejected,13900000,4800000,Poor
536,2, Not Graduate, No,3700000,14100000,6,633, Approved,14700000,1000000,Fair
537,1, Graduate, No,5900000,15200000,2,547, Rejected,18300000,19100000,Poor
538,5, Not Graduate, Yes,8600000,26300000,10,843, Approved,29400000,33100000,Excellent
539,3, Not Graduate, Yes,3400000,13200000,8,783, Approved,17900000,6800000,Excellent
540,3, Not Graduate, Yes,1000000,3200000,14,790, Approved,4700000,2000000,Excellent
541,1, Not Graduate, Yes,4400000,14200000,16,409, Rejected,17100000,14000000,Poor
542,0, Not Graduate, No,3600000,7800000,14,376, Rejected,14900000,16700000,Poor
543,3, Not Graduate, No,1400000,2700000,8,625, Approved,4400000,4900000,Fair
544,0, Not Graduate, No,5300000,10900000,18,707, Approved,20300000,15500000,Good
545,3, Graduate, Yes,9400000,20500000,6,645, Approved,34700000,30400000,Fair
546,4, Not Graduate, Yes,6600000,22100000,6,887, Approved,24500000,7100000,Excellent
547,5, Graduate, No,9800000,37600000,18,319, Rejected,25000000,24300000,Poor
548,1, Not Graduate, No,1900000,4900000,20,647, Approved,8500000,6200000,Fair
549,2, Not Graduate, Yes,5800000,22500000,6,888, Approved,21900000,14500000,Excellent
550,2, Not Graduate, No,3100000,10400000,10,420, Rejected,13500000,12800000,Poor
551,0, Graduate, No,6800000,18400000,2,791, Approved,30100000,4900000,Excellent
552,5, Not Graduate, No,4600000,16200000,12,891, Approved,14500000,7100000,Excellent
553,2, Not Graduate, Yes,200000,700000,16,641, Approved,700000,800000,Fair
554,3, Not Graduate, Yes,9500000,22800000,6,319, Rejected,43500000,19000000,Poor
555,5, Not Graduate, Yes,6200000,22200000,20,819, Approved,30400000,20100000,Excellent
556,4, Not Graduate, Yes,9700000,32300000,18,387, Rejected,25400000,25900000,Poor
557,5, Graduate, Yes,4200000,12300000,2,686, Approved,19800000,10700000,Good
558,1, Graduate, Yes,5700000,12000000,4,415, Rejected,24700000,16600000,Poor
559,2, Graduate, Yes,200000,500000,6,885, Rejected,500000,-100000,Excellent
560,4, Graduate, No,8000000,25500000,4,722, Approved,31100000,31100000,Good
561,4, Graduate, No,5200000,20400000,20,761, Approved,20500000,6300000,Excellent
